Assessment_id,Assessment_link,Assessment_boundry,link_confirmation,Assessment_factors,Assessment_authors,Adaptation_plan,Organization_id
17,"00_EMAAC_Braga.pdf, 01_EMAAC_Braga_Anexos.pdf",Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework","Community group; Consultant; Other, please specify: National Association; Relevant department within jurisdiction",Adaptation goal(s) and adaptation plan,55334
18,https://www.contrattidifiume.it/.galleries/Pubblicazioni-team-CdF/Ambito-Lambro-Urbano.-PSS-Lambro-Settentrionale.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: River Basin Area (River Lambro)",The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Community group; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,31173
19,http://implansaltillo.mx/PACMUN-Saltillo.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards,International organization; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,50397
20,http://piedmont.hosted.civiclive.com/common/pages/DisplayFile.aspx?itemId=15970372,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,60656
21,Draft Adaptation and Resilience Report,Same - covers entire jurisdiction and nothing else,Unable to provide an attachment and/or direct link to the assessment as it is not yet published,A process has been established for prioritizing identified hazards; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems,Community group,Adaptation goal(s) and adaptation plan,49335
22,"Estrategia Hídrica Local_Quilicura.pdf, PLCC Quilicura-Observaciones Asur.pdf",Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems,Question not applicable,Adaptation plan,895694
23,https://www.gw.govt.nz/document/1141/wellington-regional-coastal-vulnerability-assessment,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: neighbouring councils (ie districts and cities)",The assessment can be accessed (unrestricted) on the link provided,Assessment considers vulnerable populations,Question not applicable,Adaptation plan,59987
24,,Same - covers entire jurisdiction and nothing else,"Other, please specify: Le fichier est très volumineux. Il s'agissait de l'évaluation rapide des dommages, pertes et besoins post-inondations à Kinshasa, février 2018. Elle a été financée par la Banque Mondiale, le GFDRR, l'UE et l'OMS.",Assessment includes sectors and/or urban systems,International organization,Incomplete report,36002
25,https://sti.vista.gov.vn/file_DuLieu/dataTLKHCN//CVv420/2017/CVv420S12017088.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Consultant; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,54396
26,City sanitation strategy.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security,Community group; Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,73746
27,www.greatermanchester-ca.gov.uk/media/4542/greater-manchester-resilience-strategy-2020-2030.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,35898
28,https://www.ramseycounty.us/sites/default/files/Departments/Public%20Health/ccva_final.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Ramsey County",The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,50572
29,https://www.environment.act.gov.au/__data/assets/pdf_file/0019/1316521/Longitudinal-Survey-ACT-Resilience-to-Climate-Change-Report.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: It covers the area of Government responsibility (the Australian Capital Territory) and areas adjacent to the ACT but in the neighbouring state of New South Wales.",The assessment can be accessed (unrestricted) on the link provided,Assessment considers vulnerable populations,Consultant,Adaptation goal(s) and adaptation plan,43928
30,Tagum City Smart ICT Masterplan 2023-2028.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,Assessment considers transition risks; Assessment includes sectors and/or urban systems,Question not applicable,Adaptation goal(s) and adaptation plan,834374
31,CRCAP_siliguri.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)","Other, please specify: ICLEI South Asia",Adaptation goal(s) and adaptation plan,840122
32,https://bouldercolorado.gov/media/146/download?inline,Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,54104
33,ADAPTATION_ACTION_PLAN.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,13506
34,"IrRADIARE_agueda_paesc_volume_III.pdf, IrRADIARE_Agueda_paesc_volume_IV.pdf, IrRADIARE_agueda_pasec_volume_I.pdf, IrRADIARE_agueda_pasec_volume_II.pdf","Larger - covers the whole jurisdiction and adjoining areas, please explain additions: O estudo e plano cobre a totalidade da área concelhia, extrapolando o limite urbano da cidade de Águeda. Na medida em que o uso de energia em Águeda (e.g. transportes) afeta as juristições vizinhas, este estudo indiretamente trata também disso.",The assessment has been attached,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,55325
35,plano-local-de-resiliencia-sao-jose-do-rio-preto-pt - 2019-2022.pdf,"Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Para o Plano de Resiliência, foram consideradas as áreas de risco já canhecidas, inicialmente, possibilitando dessa maneira a resiliência frente a essas situações.",The assessment has been attached and can be accessed (unrestricted) on the link provided,Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,54614
36,https://trca.ca/conservation/flood-risk-management/flood-plain-map-viewer/,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Ontario municipalities participate in Conservation Authorities, entities delineated by watersheds not political boundaries.",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature,"Other, please specify: Toronto and Region Conservation Authority: Ontario municipalities participate in Conservation Authorities, entities delineated by watersheds not political boundaries. Toronto is supported by TRCA. See explanation for more detail.",Adaptation goal(s) and adaptation plan,31117
37,https://lingkunganhidup.jakarta.go.id/files/Rencana_Induk_Pengelolaan_Keanekaragaman_Hayati_Jakarta.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Termasduk kawasan Konservasi Nasional yang berada di wilayah DKI Jakarta",The assessment can be accessed (unrestricted) on the link provided,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems,Community group; Consultant; Dedicated team within jurisdiction; International organization; National/ central government; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,31166
38,https://www.citywindsor.ca/residents/Construction/Environmental-Assessments-Master-Plans/Documents/West%20Windsor%20Report%20-%20Final_Mar.pdf,"Smaller - covers only part of the jurisdiction, please explain exclusions: Covers low lying areas in West Windsor",The assessment can be accessed (unrestricted) on the link provided,"Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners",Consultant,Adaptation goal(s) and adaptation plan,50578
39,https://www.cotswold.gov.uk/media/8d8eab9716634de/cdc-climate-emergency-strategy-adopted-2020_09_23.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Relevant department within jurisdiction,Adaptation plan,852522
40,http://s3.amazonaws.com/newbedford-ma/wp-content/uploads/sites/28/20191219200617/New-Bedford_MA-HMP-Final-052516.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers water security,,Adaptation goal(s) and adaptation plan,58668
41,https://www.sanjoseca.gov/home/showdocument?id=474,"Smaller - covers only part of the jurisdiction, please explain exclusions: This assessment is only for the San Jose/Santa Clara Wastewater Treatment Facility, which is operated by the City of San Jose and serves the city and surrounding cities.",The assessment can be accessed (unrestricted) on the link provided,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Consultant,Adaptation goal(s) and adaptation plan,35883
42,http://polis.org.br/publicacoes/plano-de-acao-palmas-sustentavel/,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Abarca áreas pertencentes a Palmas e a Porto Nacional. A região do estudo não representa a totalidade dos 2 municípios, e sim a região urbanizada de Palmas, seu entorno e o distrito de Porto Nacional sendo chamada de  Área Conurbada de Palmas (ACP).",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards,Dedicated team within jurisdiction; International organization,Adaptation goal(s) and adaptation plan,54650
43,Estudio Vulnerabiliad_MED.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,35873
44,none,Same - covers entire jurisdiction and nothing else,Unable to provide an attachment and/or direct link to the assessment as it is not yet published,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems,Relevant department within jurisdiction,Adaptation goal(s),60011
45,"ÁREA RISCO PORTO DE PEDRA, USINA OUT CARMO.pdf","Smaller - covers only part of the jurisdiction, please explain exclusions: Área com risco de deslizamento de massa, bairro do Outeiro do Carmo",The assessment has been attached,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s),930245
46,https://www.rosario.gob.ar/inicio/sites/default/files/2022-06/Plan%20Local%20de%20Acci%C3%B3n%20Clima%CC%81tica%20Rosario%202030.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,50373
47,https://www.cityofsantacruz.com/home/showpublisheddocument/78993/637165013150570000,"Smaller - covers only part of the jurisdiction, please explain exclusions: 3 miles of Coastline on West Cliff Drive",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,59633
48,https://www.city.niigata.lg.jp/shisei/seisaku/seisaku/keikaku/kankyo/keikakutop/index.files/02_keikakuminaoshi202306.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,54328
49,https://vjol.info.vn/index.php/TCKHBDKH/article/view/57764/48196,"Smaller - covers only part of the jurisdiction, please explain exclusions: Assessment of climate-related disaster risks based on community engagement for coastal communes in Quang Binh Province",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s) and adaptation plan,930073
50,https://www.cambsfire.gov.uk/community-safety/be-prepared-for-an-emergency/cambridgeshire-and-peterborough-local-resilience-forum-cplrf/top-risks-for-cambridgeshire-and-peterborough/,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers Peterborough and Cambridgeshire",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,2621
51,C40RDJClimateChangeImpactAssessmentFINAL.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant,Adaptation goal(s) and adaptation plan,31176
52,https://www.dropbox.com/s/vcc6c97i65fc7o0/West%20Palm%20Beach%20Climate%20Resilience%20Plan-%20February%202021.pdf?dl=0,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,55801
53,Πληρης_Εκθεση.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The environmental, social and economic impacts of climate change in Greece (for the whole country)",The assessment has been attached and can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant,Adaptation goal(s) and adaptation plan,31149
54,Ficha técnica_Comas_2022_v3.doc,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",The assessment has been attached,Assessment considers vulnerable populations; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s),69850
55,http://www.corpocaldas.gov.co/publicaciones/1598/2020/04-03/Mpios/Manizales-min.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"Other, please specify: Tiene en cuenta las siguientes dimensiones Salud, Biodiversidad y Servicios Ecosistémicos, Recurso Hídrico, Seguridad Alimentaria, Hábitat Humano e Infraestructura y cuenta con los siguientes componentes  Amenaza, Sensibilidad y Capacidad Adaptativa",Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,54611
56,https://www.kent.gov.uk/__data/assets/pdf_file/0015/111381/CCRIA-for-Kent-and-Medway-part-one-methodology-and-summary-findings.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: County Council level",The assessment can be accessed (unrestricted) on the link provided,"Assessment considers nature; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,18078
57,https://cdn.cdp.net/cdp-production/comfy/cms/files/files/000/007/925/original/RSA_2019-280_Uppvidinge_%281%29.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Incomplete report,859254
58,PLANDE~1.PDF,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government,Adaptation goal(s),848476
59,1.1a Economic Evaluation of Climate Change Impacts.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers the whole of the North East England region",The assessment has been attached,Assessment considers transition risks; Assessment considers vulnerable populations,Consultant,Adaptation goal(s) and adaptation plan,13113
60,https://protecaocivil.sintra.pt/images/servico-municipal-de-protecao-civil/planos_municipais/PlanodeContingenciaMunicipalparaasondasdecalor.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers vulnerable populations,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,826396
61,https://www.stjohns.ca/en/living-in-st-johns/resources/Documents/RCSJ-Adaptation-Draft.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,,International organization,Adaptation goal(s) and adaptation plan,54027
62,ATLAS DE RIESGO MUNICIPAL  http://rmgir.proyectomesoamerica.org/PDFMunicipales/EdoMex/Atlas_Tultitlan_Sep2019_008.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Incomplete report,854055
63,Rapport final diagnostic des politiques et inventaires des GES de la Ville de Yaounde 4 final .pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Elle couvre tous les 65 quartiers et villages de Yaoundé 4 ainsi toutes les limites des chefferies traditionnelles hors circonscription administrative de la municipalité de Yaoundé 4 . elle touche aussi la municipalité de Nkolafamba, Yaounde 3 et 5",The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework; Other, please specify: sur l’accès des populations aux services sociaux de base et l’énergie propre","Other, please specify: l'organisation OAI-DEMOS, les représentants des populations a travers les comités de développement,  une équipe de la commune  sous la supervision technique du  coordonnateur du  PACAEDC et President de l'OAI-DEMOS",Adaptation plan,831618
64,https://services.swale.gov.uk/assets/Climate-Change-and-Ecological-Emergency/Carbon-Trust-Report-on-Swales-Carbon-Footprint.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Consultant,Adaptation goal(s) and adaptation plan,18078
65,http://www.chihuahua.gob.mx/atach2/anexo/anexo_09-2021_acuerdo_009-2021_actualizacion_plan_accion_climatica_municipal_2019_.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions:  límite de la evaluación de vulnerabilidad o los riesgos climáticos difieren del límite de la ciudad, porque estos son consideraros mas allá  de sus limites por su influencia en los actores ambientales",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Consultant; Dedicated team within jurisdiction; Other, please specify: CONSEJO MUNICIPAL DE CAMBIO CLIAMATICO; Regional/ state/ provincial government",Adaptation goal(s) and adaptation plan,50375
66,https://drive.google.com/file/d/1V8xMYC0SYR1tSXbux0G0lco62q4cvdxX/view?usp=drive_link,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Dedicated team within jurisdiction; Other, please specify: Earthquakes and Megacities Initiative (EMI); Relevant department within jurisdiction",Adaptation goal(s) and adaptation plan,54348
