,comment,comment_year,emission_id,comment_id
41,"SEAP action ""free-01 - extimated CO2 reduction by 2020:    1072t""
SEAP action ""free-02 - extimated CO2 reduction by 2020:      292t""
SEAP action ""free-06 - extimated CO2 reduction by 2020:      997t""
SEAP action ""free-07 - extimated CO2 reduction by 2020: 22946t""
SEAP action ""free-08 - extimated CO2 reduction by 2020:    4347t""
SEAP action ""free-09 - extimated CO2 reduction by 2020:         97t""
SEAP action ""free-10 - extimated CO2 reduction by 2020:       772t""
SEAP action ""free-11 - extimated CO2 reduction by 2020:       132t""
SEAP action ""free-12 -extimated CO2 reduction by 2020:        166t""
SEAP action ""free-13 - extimated CO2 reduction by 2020:       477t""
SEAP action ""free-14 [1/2]- extimated CO2 reduction by 2020:  13702t""
SEAP action ""free-15 - extimated CO2 reduction by 2020:     3941t""
SEAP action ""free-16 - extimated CO2 reduction by 2020:   19020t""
SEAP action ""free-17 - extimated CO2 reduction by 2020:        168t""
SEAP action ""pure-03 - extimated CO2 reduction by 2020:  38238t""
total extimated CO2 reduction by 2020: 106367t""",2016,59,42
42,"SEAP action ""free-14 [1/2] - extimated CO2 reduction by 2020: 13704t""
SEAP action ""pure-02 - extimated CO2 reduction by 2020:        55314t""
total extimated CO2 reduction by 2020: 69018t""",2016,59,43
43,"SEAP action ""move-01 - extimated CO2 reduction by 2020: 17022t""
SEAP action ""move-02 - extimated CO2 reduction by 2020:   7081t""
SEAP action ""move-03 - extimated CO2 reduction by 2020:   3559t""
SEAP action ""move-04 - extimated CO2 reduction by 2020:        62t""
SEAP action ""move-05 - extimated CO2 reduction by 2020:   3418t""
SEAP action ""move-06 - extimated CO2 reduction by 2020: 18844t""
SEAP action ""move-07 - extimated CO2 reduction by 2020:   2431t""
SEAP action ""move-08 - extimated CO2 reduction by 2020: 96412t""
SEAP action ""move-09 - extimated CO2 reduction by 2020:     600t""
SEAP action ""move-10 - extimated CO2 reduction by 2020:       37t""
SEAP action ""move-14 - extimated CO2 reduction by 2020:       68t""
total extimated CO2 reduction by 2020: 149534t""",2016,59,44
44,The expected reduction for Tertiary+Residential+Private and Commercial transport is: 324.919t,2016,59,45
45,Interim targets are also in place for 2025,2016,52,46
46,Emission for tertiary are forecasted increasing of 18%,2016,100,47
47,"Arlington's community GHG emissions reduction target is to reach 3.0 metric tonnes CO2e per capita by 2050, from a 2007 baseline of 13.4 mt/capita.",2016,113,48
48,"Benchmarking and retrofits for buildings larger than 25,000 soft",2016,76,49
49,"Sharing mobility strategies, TOD, and parking strategies",2016,76,50
50,Buckley Air Force Base not included. Methodology developed by University of Colorado Denver,2016,275,51
51,"Key findings by sector provide guidance for where strategies can perhaps slow future emissions growth.
• GHG emissions from the energy sector are anticipated
to increase slightly from 79.5 percent (2010) to 79.9
percent (2020).
• The transportation-related emissions are anticipated
to decrease from 15.6 percent (2010) to 15.2 percent
(2020).
• The waste-related emissions are anticipated to remain
unchanged at 2.8 percent.
• Wastewater treatment GHG emissions are expected to
remain unchanged at 1.5 percent.
• GHG emissions from the water sector are anticipated
to remain unchanged at 0.7 percent.
All GHG emissions have been calculated and presented in
metric tons of carbon dioxide equivalent emissions per year
(MT CO2e/yr).",2016,257,52
52,Interim targets under development.,2016,109,53
53,Targets achieved in 2011.,2016,117,54
54,Targets set in 2015 to follow Corporate targets and community request under Community Climate Change Action Plan 2015,2016,117,55
55,"Reduction Goals

Subsequent to the completion of the 2007 GHG emissions inventory, the City established the following emissions reduction targets: 

Short-term: 
Reduction of 20% below 2007 levels by 2020 
*Equals 1.5% annual reduction until 2020 

Long-term: 
Reduction of 80% below 2007 levels by 2050 
*Equals 2% annual reduction between 2020 and 2050 

To achieve its 2020 goal, the City would have to reduce the emissions generated by its municipal operations by 4,657 tons of CO2 equivalent, while the community-wide emissions reduction would have to approach 86,485 tons of CO2 equivalent. These are not insignificant numbers, but if the City and community come together in working towards those same goals, we can surely achieve them. Exploration of new technologies, new financial incentives and/or financing schemes, as well as a general willingness and commitment to the implementation of this plan will bring success.",2016,79,56
56,Target was set as part of imagineCALGARY (a community-wide engagement in 2006 to set the 100-year sustainability vision for Calgary).,2016,108,57
57,"We have a goal to be carbon neutral by 2050, and are currently working on our baseline inventory through the GPC.",2016,857,58
58,World Energy Cities Calgary Climate Accord,2016,860,59
59,"This goal is science-based and designed to be bold, yet achievable.The Climate Action Plan includes details on how much each emission reduction activity contributes to the goal.",2016,106,60
60,"This goal is science-based and designed to be bold, yet achievable. The Climate Action Plan does not include detail on how much each emission reduction activity contributes. This is more of a visionary goal.",2016,106,61
61,The goal is to get to at or below 1990 level emissions by 2020,2016,97,62
62,Denver is utilizing a 2005 baseline for our long term goal as there were more robust data available in 2005 compared to 1990.,2016,97,63
63,This is for all of Durham County.,2016,166,64
64,Overall TCO2e reduction,2016,22,65
65,"Goal does not speak to the exact emission sources targeted, but these are the primary sources called out in the 2005 inventory - so would be the assummed target GHGs",2016,115,66
66,"Goal is silent on which fossil fuels.  This could apply to aviation fuel as well, but the target is focused on community use.",2016,115,67
67,New targets set in 2013 by Council.,2016,117,68
68,"Note: For question 7.3, The City of Knoxville has not estimated anticipated reductions or measure reductions based on each emissions reduction activity.  However, the cumulative effect of past emissions reductions activities reduced residential energy consumption by 2%, commercial energy consumption by 13%, and community greenhouse gas emissions by 7.75% between 2005 and 2012.",2016,37,69
69,"After reaching our target, our current goal is to decrease emissions 2% annually.",2016,148,70
70,World Energy Cities Calgary CLimate Accord,2016,860,71
71,"NOTE: London has committed to using targets consistent with the Province of Ontario's targets. In spring 2015, Ontario
announced this new mid-term reduction goal for a 37% reduction by 2030.",2016,5,72
72,"Primarily using fossil fuels, not GHG, as our measurement tool because we have more (albeit still very limited) data",2016,277,73
73,2007 goals exceeded. New goals being set this year. The City will comply with all State requirements and targets.,2016,73,74
74,Park City has adopted a goal of Net Zero Carbon Emissions for all citywide activities by 2032. This includes Scope 1 & 2 emissions as well as air travel.,2016,278,75
75,In PCAP 1.0 PCI set a target of 20% below 2003 baseline by 2023. We are currently developing more ambitious and specific greenhouse gas reduction targets.,2016,146,76
76,1.8% annually,2016,13,77
77,"Somerville has a carbon neutrality by 2050 goal.  The exact technical definition of carbon neutrality, for accounting purposes, has not yet been finalized.",2016,151,78
78,The target is 20-25% over 2008 levels.,2016,145,79
79,No firm target date or action plan.,2016,110,80
80,"Not yet approved by town council. Our prior target was 30% below 2005 levels by 2015, and we achieved 15%.",2016,118,81
81,"We are undertaking an 80% reduction in community-wide emissions below 1990 levels by 2050.  The sectors for which emissions were measured were: residential, commercial, industrial, municipal and transportation.  There are strategies addressing each of these sectors in the resulting plan.  There are a handful of additional sectors that were included in the plan even though they were not part of our initial GHG inventory.  These include: food, waste & recycling, land use, and clean energy.",2016,259,82
82,net zero by 2050,2016,150,83
83,Mayor Kenney committed to an 80 by 50 goal when taking office in 2016. The Office of Sustainability will baseline and set interim goals as part of the Greenworks plan update later in 2016.,2016,42,84
84,Multnomah County,2016,138,85
85,The City of San Francisco has completed a third party emissions verification during January 2015.  The City has met it's year 2012 emission reduction target by reducing it's community-wide emissions approximately 23.3% below 1990 levels.,2016,114,86
86,"Our long-term goals are:
58% reduction by 2030
Zero net emissions by 2050.",2016,62,87
87,6% by 2012 and 30% by 2020 below 1990 levels for the urban area; we also baselined 2004 due to inherent inadequacy of some of the 1990 data.,2016,17,88
88,See the Greenest City Action Plan for details. Baseline was calculated in 2014 due to change in GWP of CH4 per IPCC AR4 (2007).,2016,78,89
89,See the Greenest City Action Plan for details.,2016,78,90
90,2032,2016,23,91
91,2050,2016,23,92
92,"NEW YORK—Mayor de Blasio announced today that New York City is committing to reducing its greenhouse gas emissions by 80 percent over 2005 levels by 2050, starting with One City, Built to Last: Transforming New York City’s Buildings for a Low-Carbon Future – a sweeping plan to retrofit public and private buildings to dramatically reduce the city’s contributions to climate change, while spurring major cost savings and creating thousands of new jobs for New Yorkers who most need them. This makes New York the largest city to commit to the 80 percent reduction by 2050, and charts a long-term path for investment in renewable sources of energy and a total transition from fossil fuels.

Nearly three quarters of New York City’s greenhouse gas emissions come from energy used to heat, cool, and power buildings, making building retrofits a central component of any plan to dramatically reduce emissions.

The City is poised to make direct investments to increase the efficiency of its public buildings, including schools and public housing, reducing the government’s contribution to climate change and generating operational savings for New York City taxpayers. Every single city-owned building with any significant energy use – approximately 3,000 buildings – will be retrofitted within the next ten years, by 2025, with interim goals along the way.",2016,15,93
93,"Global climate change is the challenge of our generation. The stakes are high—for New Yorkers and for the world. In the coming years, New York City will face rising sea levels, increased temperatures and heat waves, and an increasing frequency of the most intense storms. These risks are not remote nor distant. They are here today. The damage caused by Hurricane Sandy in 2012 provided vivid evidence of these risks. Almost two years later, we are still recovering. Globally, climate change is having a devastating impact on people’s lives as rising sea levels flood coastlines, droughts disrupt livelihoods, and storms, hurricanes, and other extreme weather events threaten security and economic development.

For this reason, New York City is committed to reducing its greenhouse gas (GHG) emissions by 80 percent by 2050—the level the United Nations projects is needed to avoid the most dangerous impacts of climate change—and will chart a long-term course for a total transition away from fossil fuels to renewable sources of energy. We have developed an action plan for our buildings sector to reach a 35% energy reduction by 2025.",2016,15,94
94,"Includes: solid waste, public transportation; private transportation; industrial buildings; residential buildings",2016,60,95
95,Figures in the 4th column entails the reduction effort in tCO2e in 10 years time. Baseline emission is the Total emission of 1.6 tCO2e.,2016,34,96
96,"The total reduction amount will be reached 3,102,145tCO2eq.",2016,280,97
97,We have a Zero Net Emissions by 2020 Strategy for the municipality.,2016,11,98
98,Baseline emissions were calculated based on GPC BASIC methodology,2016,112,99
99,One Less Nuclear Power Plant,2016,63,100
100,"7 to 11% reduction (unconditional) from 2020 Business-as-usual (BAU) emissions

16% reduction (conditional of global deal) from 2020 Business-as-usual (BAU) emissions",2016,235,101
101,"TMG also set energy efficiency targets


industrial and Commercial sector 30%
Residential sector 30%
Transportation 60%
Total 38%",2016,94,102
102,do not wish to disclose baseline emissions,2016,281,103
103,Baseline emissions need to be updated.,2016,116,104
104,Baseline emissions subject to change should in event of methodology change,2016,75,105
105,Target = zero net carbon emissions by 2025 (so there is no baseline year).,2016,128,106
106,GHG/Energy Target Management Scheme for public   affairs,2016,283,107
107,"Chu Chen, Mayor of Kaohsiung City had set up short term GHG reduction target, decreasing 20% by 2020 compared with the emissions in 2005. Therefore, city has to build up its future BAU for comparison with baseline emissions, to estimate how many should city reduce in order to reach the target.",2016,31,108
108,"Pingtung County set up the GHG emission reduction goal, decreasing 30% by 2030 compared with the emission in 2013.",2016,168,109
109,In accordance with Central Government policy,2016,134,110
110,"En el PEI del Instituto Metropolitano de Protransporte de Lima, tiene como indicador de reducción del 10% de las emisiones que emiten el transporte público.",2016,51,111
111,"O Distrito Federal conta com uma Política de Clima (LEI Nº 4.797, DE 6 DE MARÇO DE 2012 - Promulgada em 24/4/2015), ainda não regulamentada, cuja meta de mitigação está de acordo com as metas da PNMC- LEI Nº 12.187, DE 29 DE DEZEMBRO DE 2009),  neste caso, meta de 40% até 2020.",2016,45,112
112,Meta global de mitigación definida en el programa municipal de cambio climático.,2016,203,113
113,"Se pretende tener un sistema de transporte sostenible que sea seguro, confiable, económico, eficiente, equitativo, al alcance de todos, que  incida positivamente en la generación de cambios positivos en la seguridad ciudadana tanto en los índices de accidentalidad, contaminación y seguridad ciudadana, generado a través de los programas de transporte masivo (La Paz Bus, Puma Katari, teleférico laderas, tren elevado ecológico); Y un Sistema de transporte en La Paz y El Alto renovado (a través de un Programa de renovación del parque automotor)",2016,33,114
114,"Se espera contar con una gestión Integral de Residuos Sólidos desde origen con reciclaje y reutilización, a partir del establecimiento de mecanismos de compensación y beneficio económico, con inclusión social y disposición final adecuada, incidiendo positivamente sobre la salud y la educación de la población en general, controlada (a través de red de puntos verdes, planta de biogás, plastimadera  y Educación ambiental para la Gestión Integral de Residuos sólidos)",2016,33,115
115,"Los resultados esperados serían (Herramientas conceptuales, técnicas y jurídicas para la aplicación de acciones en materia de calidad ambiental  elaboradas y Sistema energético des-fosilizado y  generación y consumo de  energía en el Municipio de La Paz controlado), a través de Programa control y monitoreo de calidad ambiental (normativa greenbuilding, hora del planeta) y el Programa energías renovables y ecoeficientes (Eficiencia energética en viviendas del municipio-área urbana y Educación para uso eficiente de energía)",2016,33,116
116,"Los resultados esperados serían (Herramientas conceptuales, técnicas y jurídicas para la aplicación de acciones en materia de calidad ambiental y Sistema energético des-fosilizado y  generación y consumo de  energía en el Municipio de La Paz controlado) a través de Programa control y monitoreo de calidad ambiental (normativa greenbuilding), Programa energías renovables y ecoeficientes (Eficiencia energética en comercios del municipio (área urbana y Sensibilización y educación para uso eficiente de energía) y Alumbrado público eficiente (La Paz Iluminada + Recambio de luminaria LED en el alumbrado público de la ciudad)",2016,33,117
117,"Sistema energético des-fosilizado y  generación y consumo de  energía en el Municipio de La Paz controlado; Uso de energías alternativas incrementado, matriz de generación diversificada y consumo de combustibles fósiles reducido, en Bolivia y Eficiencia energética en el sector industrial a través de Programa energías renovables y eco-eficientes, Programa energías renovables y eco eficientes y Programa de Electrificación Rural con Energía Renovable",2016,33,118
118,"All this items are in discussion inside the Plan For GHG Reduction - PREGEE but our target date will be 2030. The plan will be released in 2013, July, and will anticipate the reduction in the emissions growth curve.",2016,30,119
119,"low carbon agriculture, implementation of green infrastructure, reduction in energy, consumption, sanitation, reducing fuel consumption",2016,41,120
120,"-Baseline scenario goal: 2008 is the start year of the baseline scenario used as the starting point for the BAU analysis. 
-Buenos Aires City target applies to the entire city-wide emissions inventory. The sources we have disclosed are the mitigation lines included in the target. 
-Note that the target of 30 % includes an unconditional 20 % and 10% conditional on access to finance and the national regulatory policy framework.",2016,91,121
121,"5% reduction per year of the projected growth rate of emissions, starting 2019",2016,180,122
122,Measurement of avoided GHG emissions.,2016,67,123
123,"Rio has just launched its goal for being carbon neutral until 2065, fifty years from now.",2016,67,124
124,http://www.covenantofmayors.eu/about/signatories_it.html?city_id=4190&seap,2016,855,125
125,"City has not set new targets at this time, working on them for the near future.",2016,288,126
126,The one sector of tracking and reporting accurate emissions that we lack some confidence is Transportation because the figures are based on estimations from a regional council of governments.,2017,182,127
127,This number is the total amount of emissions provided in our GHG emissions inventory and modeling workbook.,2017,79,128
128,The level of uncertainty associated with the data is addressed in the source notes in each section. http://www.seattle.gov/Documents/Departments/OSE/ClimateDocs/2014GHG%20inventorySept2016.pdf,2017,62,129
129,"This GHG inventory was conducted by the Brendle Group, a Colorado-based environmental consulting firm.",2017,184,130
130,"Energy production CHP, process power, wastes and waste water calculations quite high level of confidence. Traffic calculation is based on national LIISA model, not actual emissions. Separate heating, industrial machinery, agriculture and its energy use are not so high level of confidence, because information harder to find .and emission calculatios are based on statistics. Calculations are made with national tool called KASVENER (2007), but with updated GWP factors.",2017,125,131
131,See answer to question C1.13a. Inventory report is available only in Finnish.,2017,26,132
132,"Inventory contains information on in-boundary transportation (transit, passenger, freight), electricity generation (residential, commercial and industrial) and stationary fuel combustion (residential, commercial and industrial).  All water and waste related emissions are already included in the municipal inventory.",2017,143,133
133,Medium Confidence,2017,177,134
134,Emission inventory was conducted and verified by an external third-party consultant,2017,110,135
135,"Much of the data is not collected by the city, but is based on national figures. Transport data is estimated using VISUM traffic model.",2017,155,136
136,"The data was collected through the Hestia Project by researchers at Purdue University and collaborators. It is based on direct measurements (with monitors and aircraft) and extensive modeling (hestia.project.asu.edu/). Note that this analysis does not does not compare directly to other protocols and does not necessarily include all scope 2 emissions. Indianapolis is working on a GPC inventory as well. Though the reported number has been tested and reported through peer-reviewed journals, there is limited confidence in the comparability to other cities. Published in Environmental Science and Technology by Kevin R. Gurney, Igor Razlivanov, Yang Song, Yuyu Zhou, Bedrich Benes,and Michel Abdul-Massihhttp://hestia.project.asu.edu/uploads/Gurney.ES&T.2012.final.proof.pdf",2017,86,137
137,"medium/high. High confidence in stationary energy combustion and transportation emissions. Medium confidence in solid waste emissions (landfill waste emissions) due to proxy for landfill waste characterization, assumptions made for landfill gas capture system efficiency. High confidence about incineration activities in the City due to directly monitored emissions data received from EPA",2017,257,138
138,"This inventory is mere a preliminary calculation and still lacks reliable data of some sectors, especially industrial processes and fuel consumption. Therefore, it has not been officially published yet.",2017,187,139
139,This is a dated document,2017,190,140
140,Datos obtenidos de estadísticas de INEGI y en algunos casos no existe registros historicos.,2017,191,141
141,Medium to High - the results align with previous CCP ICLEI reporting. The methodology is being piloted by the City of Hobart and is being tested with a range of different councils energy use profiles,2017,194,142
142,"We are confident in our results, but they have not been third party verified.",2017,195,143
143,"Emissions related to electricity and natural gas are based on utility data by customer class. Emissions related to gasoline and diesel use by households are primarily based on retail sales of fuel data, whereas fuel used by freight transportation and local corporate fleets are prorated from provincial data by population.",2017,5,144
144,The related calculations refer to the 2008 and 2012 inventory projections.,2017,258,145
145,A complete data collection following a bottom-up approach has been used to calculate the fuel consumption in the city; standard IPCC emission factors and local factor for electricity production supported the calculation of the consequent emissions inventory,2017,197,146
146,Electricity and Natural Gas consumption are measured values however transportation figures are based on Virginia DOT's Vehicle Miles Traveled studies and estimates which may not be entirely accurate.,2017,259,147
147,"The City of Roanoke hires local citizen Dr. Sean McGinnis, Director of Green Engineering from Virginia Tech to calculate and report on the GHG Emissions data.",2017,38,148
148,"Our inventory is completed by consultants contracted by the County, DVN GL.",2017,156,149
149,"For level of confidence, we multiply the accuracy level of collected activity data by the accuracy level of emission coefficients used.Accuracy level classification for activity data:?H?Regional statistics data :1?M?Cities statistics data:2?L?Central statistics data:3Accuracy level classification for emission coefficients:?H?Regional emission coefficients: 1 ?M?National emission coefficients: 2?L?International emission coefficients: 3The overall result is 5.13, the score falls within range 4-7, which was classified as medium level of confidence",2017,134,150
150,"Although a high level of accuracy has been reached in scope 1, scope 2 uses the national electricity consumption disaggregated according to the regional consumption of the year 2014.",2017,260,151
151,Vale aclarar que estos datos pueden tener una incertidumbre de media a alta dado la naturaleza de los datos de actividad y los factores de emisión fueron seleccionados por defecto del IPCC.,2017,201,152
152,The 2014/2015 GHG calculation was the third carbon footprint in three consecutive years and there has been a similar trends in the City.,2017,96,153
153,http://www.cm-cascais.pt/projeto/matriz-energetica-de-cascais,2017,111,154
154,Central government data (DECC). This is the only data available at the city scale but progress is rigorous and consistent.,2017,19,155
155,La elaboración del presente inventario contó con  asistencia técnica del Centro Mario Molina (utilizando la ya mencionada metodología del IPCC 2006 y los factores de emisión para las diferentes categorías analizadas) quienes posteriormente verificaron y validaron dicho inventario.,2017,203,156
156,"Data retrieved came directly from utility companies and ICLEI resources were used to ensure proper methodology was used but we are only able to include the 5 minimum sources: Electric, Gas, waste, water movement, and VMT. We also had to use certain defaults (such as the Default vehicle mix and the default municipal solid waste Emissions Factor) as we do not have specific data in those areas.",2017,205,157
157,Regionally developed methodology equivalent to GPC (and IPCC guidelines). There has been no external verification or audition. Cities of the Helsinki metropolitan area have jointly approved the current calculations methodology. The person responsible for calculating emissions is mr. johannes.lounasheimo@hsy.fi,2017,209,158
158,Our emissions inventory is based on the best data available. We have gaps in our methodology we hope to address in future years.,2017,28,159
159,https://www.hsy.fi/en/experts/climatechange/mitigation/Pages/Greenhouse-Gas-Emissions.aspx,2017,65,160
160,Data was based mostly on estimates and the Inventory is in Hebrew,2017,211,161
161,95% level of confidence,2017,123,162
162,Official data from Statistikamt Nord.,2017,90,163
163,http://cdrpc.org/programs/sustainability/climate-smart-communities-csc/ghg-inventory/,2017,56,164
164,A third party data anomaly in the 2010 inventory may result in significant revisions that show improved progress toward goals.,2017,130,165
165,Finished,2017,25,166
166,"Includes  municipal GHG emissions, residential, terciary and industrial sector, mobility GHG emissions, waste tratment and port and airpot emissions.",2017,217,167
167,"The inventory is also found on the Sustainable Energy Action Plan of the City of Tirana (SEAP). The total emission figure is generated on the data listed below:1. The total registered number of private and commercial vehicles in the city of Tirana in 2011, divided by type of fuel consumption2. The total area of residential and commercial buildings, in 20113. The electricity consumption data for both residential and commercial buildings in 2011, data obtained from CEZ Albania",2017,218,168
168,The methodology used to calculate GHG emissions of Guimarães municipality is based in the guidelines of Joint Research Centre of the European Commission for SEAP development and the calculations were are based on relevant socio-economic and energetic information provided by official statistics at municipal level.This results were already approved by Covenant of Mayors initiative.,2017,219,169
169,"Since many years the IFEU institute developes CO2 balances for municipalities and consults the administrations with its expertise. Ifeu submitted a detailed inventory to the city of Heidelberg, Short comment on C1.3: All climate relevant gases (N2O, CH4 etc.) are included, but converted to CO2-equivalents.",2017,43,170
170,Data has not been audited by a 3rd party.,2017,261,171
171,"Although not a registered protocol, the DVRPC GHG Inventory is a thorough tool and was accepted during Abington's Township's STAR Communities™ verification for a Greenhouse Gas Emissions Inventory.",2017,87,172
172,"This inventory is only about 75% complete, and the data that is included needs to be vetted still. The transportation data is especially lacking and major stationary sources (other than natural gas) have not been included yet.",2017,136,173
173,Electricity and Natural Gas consumption are measured values however transportation figures are based on Virginia DOT's Vehicle Miles Traveled studies and estimates which may not be entirely accurate.,2017,230,174
174,"Most data are at a high quality based on real energy consumption in the sectors, some data are calculated on provided regional or national data sources.",2017,232,175
175,Performed inventory in house,2017,165,176
176,Prepared by independent entity with high professional standing in GHG accounting.,2017,75,177
177,It corresponds to the City of San Luis Potosí,2017,95,178
178,"In activity data selection, the area analysis number occupied 65.1% and local analysis number occupied 26.51%, so there is 90% that city selected middle or low error activity data; In emissions coefficient, city almost used national level coefficient, so there is 98.75% emissions were calculated by middle error level emissions coefficient.",2017,31,179
179,see: http://energiemonitor.groningen.nl/ (document too big to attach),2017,234,180
180,"The level of confidence is high since the source of all data comes from oficial government institutes. However, some of the data are still provisional and will be reviewed in the near future.",2017,93,181
181,"Emissions data comes from multiple sources and the City relies on other agencies, such as privately owned utility companies to provide consumption data. As a result, the City cannot comment on the accuracy of the data.",2017,60,182
182,Inventory is compiled in accordance with IPCC guidelines,2017,235,183
183,"This inventory, including its methodology and calculations has been reviewed for accuracy. Some records underwent multiple reviews and recalculations. However, please note that for a couple records the most up-to-date and accurate data was not available.",2017,163,184
184,The methodology used to calculate GHG emissions of Fafe municipality is based in the guidelines of Joint Research Centre of the European Commission for SEAP development and the calculations were are based on relevant socio-economic and energetic information provided by official statistics at municipal level. These results were already approved by Covenant of Mayors initiative.,2017,238,185
185,"Tier 1 method as described in Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (IPCC, 2000) for uncertainty evaluation has been applied. Individual uncertainty levels for emission factors and most other parameters have been applied with reference to either Lithuania’s NIR or IPCC recommendations. Uncertainty of activity levels has been evaluated based on expert judgement and in most cases it coincides with that evaluated in Lithuania’s NIR.The combined uncertainty level of the inventory (12.7 %) is close to that of Lithuania’s NIR (11.5 % excluding LULUCF) and may be considered acceptable. It is recommended to evaluate trend uncertainty with further emission inventories. As Road Transportation category emissions yielded high uncertainty levels it is recommended to address this issue in the future inventories and develop more transparent and comprehensive methodologies for evaluation of activity levels.",2017,47,186
186,The CO2 mapping was conducted externally by a consultancy.,2017,239,187
187,"Inventory includes a mix of primary and secondary sources as well as estimates based on models or scaling. See Cupertino Climate Action Plan, Chapter 2, pages 33-62 for Community and LGO inventories.",2017,243,188
188,Total solid wastes and waste water was extrapolated from measurements made that were assumed as representative of the whole city population,2017,124,189
189,Number doesn't include University of Michigan reported emissions,2017,246,190
190,"The data was collected in 2014, page 72, frame 21",2017,49,191
191,Almost of the data is calculated by hearing by businesses but some data is calculated by propotional division of statistics,2017,262,192
